|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
13.0|Sie|pronoun|you|Sie sollten Ihre Medikamente regelmäßig einnehmen.|You should take your medications regularly.|sie;sollen;ihr;Medikament;regelmäßig;einnehmen
14.0|werden (Futur)|auxiliary verb|(future tense)|Sie werden morgen die Dokumente abschicken.|They will send the documents tomorrow.|sie;werden;morgen;der;Dokument;abschicken
15.0|werden (Passivform)|auxiliary verb|(passive voice)|Die Ergebnisse werden in Kürze veröffentlicht.|The results will be published shortly.|der;Ergebnis;werden;in;Kürze;veröffentlichen
16.0|werden|verb|to become|Er wird bald der Direktor des Instituts.|He will soon become the director of the institute.|er;werden;bald;der;Direktor;der;Institut
16.001|werden|verb|to get|Er wird bald befördert, wenn er weiter hart arbeitet.|He will get promoted soon if he keeps working hard.|er;werden;bald;befördern;wenn;er;weiter;hart;arbeiten
17.0|von|preposition|from|Er hat das Buch von seiner Freundin bekommen.|He got the book from his friend.|er;haben;der;Buch;von;sein;Freundin;bekommen
17.001|von|preposition|of|Das Bild, von dem du sprichst, ist sehr alt.|The picture you’re talking about is very old.|der;Bild;von;der;du;sprichen;sein;sehr;alt
18.0|ich|pronoun|I|Ich freue mich auf das Konzert am Samstag.|I am looking forward to the concert on Saturday.|ich;freuen;sich;auf;der;Konzert;an;Samstag
19.0|nicht|particle|not|Ich kann das nicht glauben, es klingt einfach absurd!|I cannot believe that, it just sounds absurd!|ich;können;der;nicht;glauben;es;klingen;einfach;absurd
20.0|es|pronoun|it|Es regnet den ganzen Tag, was schade ist.|It’s raining all day, which is a shame.|es;regnen;der;ganz;Tag;wer;schade;sein
21.0|mit|preposition|with|Ich schreibe mit einem eleganten Füller auf Pergament.|I write with an elegant fountain pen on parchment.|ich;schreiben;mit;ein;elegant;Füller;auf;Pergament
22.0|sich|pronoun|-self|Sie setzte sich ruhig hin und atmete tief ein.|She sat down calmly and took a deep breath.|sie;hinsetzen;sich;ruhig;hin;und;einatmen;tief;ein
23.0|er|pronoun|he|Er geht jeden Morgen joggen, um fit zu bleiben.|He goes jogging every morning to stay fit.|er;gehen;jeder;Morgen;joggen;um;fit;zu;bleiben
24.0|auf|preposition|on|Das Buch liegt auf dem Tisch neben dem Fenster.|The book is on the table next to the window.|der;Buch;liegen;auf;der;Tisch;neben;der;Fenster
24.001|auf|preposition|at|Wir treffen uns morgen auf dem alten Marktplatz.|We will meet tomorrow at the old marketplace.|wir;treffen;sich;morgen;auf;der;alt;Marktplatz
24.002|auf|preposition|to|Er ging auf den Vortrag zu, um neue Ideen zu sammeln.|He went to the lecture to gather new ideas.|er;zugehen;auf;der;Vortrag;zu;um;neu;Idee;zu;sammeln
25.0|für|preposition|for|Sie hat ein Geschenk für ihre Mutter gekauft.|She bought a gift for her mother.|sie;haben;ein;Geschenk;für;ihr;Mutter;kaufen
26.0|auch|adverb|also|Ich mag Pizza, aber auch Pasta ist lecker.|I like pizza, but pasta is also delicious.|ich;mögen;Pizza;aber;auch;Pasta;sein;lecker
26.001|auch|adverb|too|Er trinkt Kaffee, aber auch Tee gehört zu seinem Frühstück.|He drinks coffee, but tea is also part of his breakfast.|er;trinken;Kaffee;aber;auch;Tee;gehören;zu;sein;Frühstück
27.0|an|preposition|at|Wir treffen uns morgen an der Bushaltestelle.|We’ll meet tomorrow at the bus stop.|wir;treffen;sich;morgen;an;der;Bushaltestelle
27.001|an|preposition|on|Das Gemälde hing an der Wand und zog alle Blicke auf sich.|The painting hung on the wall, drawing all eyes to it.|der;Gemälde;hing;an;der;Wand;und;ziehen;aller;Blick;auf;sich
28.0|dass|conjunction|that|Ich hoffe, dass wir bald wieder in den Urlaub fahren können.|I hope that we can go on vacation again soon.|ich;hoffen;dass;wir;bald;wieder;in;der;Urlaub;fahren;können
29.0|zu|particle|to|Psychologen müssen zu ethischen Standards verpflichtet sein.|Psychologists have to be committed to ethical standards.|Psychologe;müssen;zu;ethisch;Standard;verpflichten;sein
30.0|zu|particle|too|Die Arbeit ist zu schwer für mich allein.|The work is too heavy for me alone. |der;Arbeit;sein;zu;schwer;für;mich;allein
31.0|zu|preposition|to|Wir gehen zum Park, um frische Luft zu schnappen.|We’re going to the park to get some fresh air.|wir;gehen;zu;Park;um;frisch;Luft;zu;schnappen
32.0|als|conjunction|as|Er agierte als Experte auf dem Gebiet der Quantenphysik.|He acted as an expert in the field of quantum physics.|er;agieren;als;Experte;auf;der;Gebiet;der;Quantenphysik
32.001|als|conjunction|when|Als der Blitz einschlug, erzitterte das ganze Haus.|When the lightning struck, the whole house trembled.|als;der;Blitz;einschlagen;erzittern;der;ganz;Haus
33.0|als|particle|than|Das Verhalten war stärker als erwartet ausgeprägt.|The behavior was more pronounced than expected.|der;verhalten;sein;stark;als;erwarten;ausgeprägt
34.0|können|verb|to be able to|Er kann endlich seine Träume verwirklichen.|He is finally able to make his dreams come true.|er;können;endlich;sein;Traum;verwirklichen
34.001|können|verb|to can|Man kann das Spiel echt schnell durchzocken, wenn man will.|You can finish the game really quickly if you want.|man;können;der;Spiel;echt;schnell;durchzocken;wenn;man;wollen
35.0|dies|pronoun|this|Dies ist eine neue Entdeckung in der Molekularbiologie.|This is a new discovery in molecular biology.|dieser;sein;ein;neu;Entdeckung;in;der;Molekularbiologie
35.001|dies|pronoun|that|Dies ist ein wichtiges Konzept in der Immunologie.|That is an important concept in immunology.|dieser;sein;ein;wichtig;Konzept;in;der;Immunologie
36.0|wie|particle|as|Er arbeitet genauso hart wie sein Bruder.|He works as hard as his brother.|er;arbeiten;genauso;hart;wie;sein;Bruder
37.0|wie|pronoun|how|Weißt du, wie man diesen Computer repariert?|Do you know how to fix this computer?|Weißt;du;wie;man;dieser;Computer;reparieren
38.0|wir|pronoun|we|Wir sollten uns stärker auf die Details konzentrieren.|We should focus more on the details.|wir;sollen;sich;stark;auf;der;Detail;konzentrieren
39.0|ihr|pronoun|her|Sie lächelte ihm zu, als er ihr den Koffer abnahm.|She smiled at him as he took the suitcase from her.|sie;zulächeln;ihm;zu;als;er;ihr;der;Koffer;abnehmen
39.001|ihr|pronoun|their|Ihr Hund ist sehr freundlich und liebt Spaziergänge.|Their dog is very friendly and loves walks.|ihr;Hund;sein;sehr;freundlich;und;lieben;Spaziergang
39.002|ihr|pronoun|hers|Das ist ihr Büro, in dem sie die gesamte Strategie entwirft.|This is hers office, where she designs the entire strategy.|der;sein;ihr;Büro;in;der;sie;der;gesamt;Strategie;entwerfen
39.003|ihr|pronoun|theirs|Das ist ihr Haus, das sie gerade renovieren.|That house is theirs, the one they're currently renovating.|der;sein;ihr;Haus;der;sie;gerade;renovieren
40.0|ihr|pronoun|you|Ihr habt das Ziel in Rekordzeit erreicht.|You reached the goal in record time.|ihr;haben;der;Ziel;in;Rekordzeit;erreichen
40.001|ihr|pronoun|her|Ich kenne ihre Geschichte und finde sie sehr berührend.|I know her story, and I find it very touching.|ich;kennen;ihr;Geschichte;und;finden;sie;sehr;berührend
41.0|Ihr|pronoun|your|Ihr Herz pumpt täglich Millionen von Litern Blut.|Your heart pumps millions of liters of blood daily.|ihr;Herz;pumpen;täglich;Million;von;Liter;Blut
42.0|so|adverb|thus|Sie reagierte so schnell, dass ich kaum mitkam.|She reacted so quickly that I could barely keep up.|sie;reagieren;so;schnell;dass;ich;kaum;mitkommen
42.001|so|adverb|the way|So, wie er spricht, könnte er ein Redner werden.|The way he speaks, he could become a speaker.|so;wie;er;sprechen;können;er;ein;Redner;werden
42.002|so|adverb|such|Er hat so viel Arbeit, dass er kaum schlafen kann.|He has so much work that he can hardly sleep.|er;haben;so;viel;Arbeit;dass;er;kaum;schlafen;können
43.0|so|particle|so|Das war so schön, dass ich es nicht vergaß.|It was so beautiful that I didn’t forget it.|der;sein;so;schön;dass;ich;es;nicht;vergaß
44.0|bei|preposition|by|Bei Sonnenschein gehen wir oft im Park spazieren.|We often walk in the park when it's sunny.|bei;Sonnenschein;gehen;wir;oft;in;Park;spazieren
44.001|bei|preposition|with|Er wohnt bei seinen Eltern auf dem Land.|He lives with his parents in the countryside.|er;wohnen;bei;sein;Eltern;auf;der;Land
44.002|bei|preposition|at|Ich treffe mich gleich bei der Arbeit mit Thomas.|I'm meeting Thomas at work soon.|ich;treffen;sich;gleich;bei;der;Arbeit;mit;Thomas
45.0|sein|pronoun|his|Das ist sein Lieblingsbuch aus der Kindheit.|This is his favorite book from childhood.|der;sein;sein;Lieblingsbuch;aus;der;Kindheit
45.001|sein|pronoun|its|Der Baum verlor sein Laub im kalten Winter.|The tree lost its leaves in the cold winter.|der;Baum;verlieren;sein;Laub;in;kalt;Winter
46.0|aber|conjunction|but|Die Theorie ist gut, aber die Daten widersprechen ihr.|The theory is good, but the data contradict it.|der;Theorie;sein;gut;aber;der;Datum;widersprechen;ihr
47.0|aber|particle|(emphasis)|Du siehst aber echt müde aus, hast du wenig geschlafen?|You look pretty tired, did you sleep little?|du;aussiehst;aber;echt;müde;aus;haben;du;wenig;schlafen
48.0|man|pronoun|one|Man sollte immer ehrlich zu sich selbst sein.|One should always be honest with oneself.|man;sollen;immer;ehrlich;zu;sich;selbst;sein
48.001|man|pronoun|you|Man sollte jeden Tag etwas Neues lernen.|You should learn something new every day.|man;sollen;jeder;Tag;etwas;neue;lernen
48.002|man|pronoun|they|Man sollte immer auf seine Gesundheit achten.|They should always pay attention to their health.|man;sollen;immer;auf;sein;Gesundheit;achten
49.0|noch|adverb|still|Es ist noch Zeit, den letzten Zug zu erwischen.|There is still time to catch the last train.|es;sein;noch;Zeit;der;letzter;Zug;zu;erwischen
49.001|noch|adverb|yet|Das Ergebnis ist noch unklar, aber wir arbeiten daran.|The result is still unclear, but we are working on it. |der;Ergebnis;sein;noch;unklar;aber;wir;arbeiten;daran
50.0|nach|preposition|after|Nach dem Abendessen gingen wir noch spazieren.|After dinner, we went for a walk.|nach;der;Abendessen;spazierengehen;wir;noch;spazieren
50.001|nach|preposition|toward|Wir fahren nach Süden, um das Meer zu sehen.|We are heading toward the south to see the sea.|wir;fahren;nach;Süden;um;der;Meer;zu;sehen
51.0|oder|conjunction|or|Möchtest du Kaffee oder Tee zum Frühstück?|Would you like coffee or tea for breakfast?|Möchtest;du;Kaffee;oder;Tee;zu;Frühstück
52.0|all|pronoun|all|All Kinder müssen in der Schule ihre Hausaufgaben machen.|All children must do their homework in school.|all;Kind;müssen;in;der;Schule;ihr;Hausaufgabe;machen
53.0|aus|preposition|out|Die Forscher holten die Daten aus verschiedenen Quellen.|The researchers gathered the data from various sources.|der;Forscher;holen;der;Datum;aus;verschieden;Quelle
53.001|aus|preposition|out of|Sie kam ganz aus dem Haus, als der Hund bellte.|She came right out of the house when the dog barked.|sie;kommen;ganz;aus;der;Haus;als;der;Hund;belln
53.002|aus|preposition|from|Die Produkte stammen aus der Region Bayern.|The products come from the Bavaria region.|der;Produkt;stammen;aus;der;Region;Bayern
54.0|was|pronoun|what|Weißt du, was er mir in seiner Nachricht gestanden hat?|Do you know what he confessed to me in his message?|Weißt;du;was;er;mir;in;sein;Nachricht;stehen;haben
55.0|nur|adverb|only|Ich brauche nur fünf Minuten, dann bin ich bereit.|I only need five minutes, then I’m ready.|ich;brauchen;nur;fünf;Minute;dann;sein;ich;bereit
56.0|sagen|verb|to say|Sie wollte etwas Wichtiges zu uns sagen.|She wanted to say something important to us.|sie;wollen;etwas;Wichtiges;zu;uns;sagen
56.001|sagen|verb|to tell|Er wollte mir etwas Wichtiges sagen, aber er zögerte.|He wanted to tell me something important, but he hesitated.|er;wollen;mir;etwas;Wichtiges;sagen;aber;er;zögern
57.0|dann|adverb|then|Wir gehen zuerst einkaufen und dann zum Café.|We will first go shopping and then to the café.|wir;gehen;zuerst;einkaufen;und;dann;zu;Café
58.0|wenn|conjunction|if|Wenn du dich beeilst, können wir noch den Film sehen.|If you hurry, we can still catch the movie.|wenn;du;dich;beeilen;können;wir;noch;der;Film;sehen
58.001|wenn|conjunction|when|Wenn du fertig bist, können wir losgehen.|When you’re ready, we can go.|wenn;du;fertig;sein;können;wir;losgehen
59.0|müssen|verb|to have to|Psychologen müssen ethische Richtlinien befolgen.|Psychologists have to follow ethical guidelines.|Psychologe;müssen;ethisch;Richtlinie;befolgen
59.001|müssen|verb|to must|Wir müssen das Problem sofort lösen, um weiterzukommen.|We must solve the problem immediately to make progress.|wir;müssen;der;Problem;sofort;lösen;um;weiterkommen
60.0|um|conjunction|in order to|Er hat seine Hausaufgaben gemacht, um das Spiel zu sehen.|He did his homework in order to watch the game.|er;haben;sein;Hausaufgabe;machen;um;der;Spiel;zu;sehen
61.0|um|preposition|around|Um das Haus herum gibt es viele Blumenbeete.|There are many flowerbeds around the house.|um;der;Haus;herum;geben;es;vieler;Blumenbeet
61.001|um|preposition|at|Wir treffen uns um acht Uhr an der Ecke der Straße.|We will meet at eight o'clock at the corner of the street.|wir;treffen;sich;um;acht;Uhr;an;der;Ecke;der;Straße
61.002|um|preposition|about|Wir haben um den richtigen Zeitpunkt gestritten.|We argued about the right timing.|wir;haben;um;der;richtig;Zeitpunkt;streiten
62.0|ja|particle|yes|Ja, ich habe die E-Mail schon beantwortet.|Yes, I've already answered the email.|ja;ich;haben;der;E-Mail;schon;beantworten
62.001|ja|particle|of course|Du weißt ja, dass er immer pünktlich ist.|You know, of course, that he is always on time.|du;weißen;ja;dass;er;immer;pünktlich;sein
63.0|keine|pronoun|no (one)|Es gibt keine bekannten Nebenwirkungen dieses Medikaments.|There are no known side effects of this medication.|es;geben;kein;bekannt;Nebenwirkung;dieser;Medikament
64.0|über|preposition|above|Die Lampe hängt über dem großen Esstisch.|The lamp hangs above the large dining table.|der;Lampe;hängen;über;der;groß;Esstisch
64.001|über|preposition|over|Der Vogel flog über das Dach, bevor er verschwand.|The bird flew over the roof before it disappeared.|der;Vogel;fliegen;über;der;Dach;bevor;er;verschwinden
64.002|über|preposition|about|Ich habe viel über das Thema nachgedacht und recherchiert.|I thought and researched a lot about the topic.|ich;haben;viel;über;der;Thema;nachdenken;und;recherchieren
65.0|da|adverb|there|Da drüben, hinter der Ecke, wartet ein Überraschung.|Over there, behind the corner, awaits a surprise.|da;drüben;hinter;der;Ecke;warten;ein;Überraschung
66.0|da|conjunction|because|Ich gehe früh ins Bett, da ich morgen früh aufstehen muss.|I go to bed early because I have to get up early tomorrow.|ich;gehen;früh;in;Bett;da;ich;morgen;früh;aufstehen;muss
67.0|geben|verb|to give|Er wollte mir einen Rat geben, aber ich hörte nicht zu.|He wanted to give me advice, but I didn’t listen.|er;wollen;mir;ein;Rat;geben;aber;ich;zuhören;nicht;zu
68.0|vor|preposition|in front of|Der Hund läuft vor dem Haus und bellt laut.|The dog runs in front of the house and barks loudly.|der;Hund;laufen;vor;der;Haus;und;belln;laut
68.001|vor|preposition|before|Vor der Analyse sollten alle Variablen kontrolliert werden.|All variables should be controlled before the analysis.|vor;der;Analyse;sollen;aller;Variabl;kontrollieren;werden
68.002|vor|preposition|ago|Vor drei Jahren reisten wir zum ersten Mal nach Paris.|We traveled to Paris for the first time three years ago.|vor;drei;Jahr;reisen;wir;zu;erster;Mal;nach;Paris
69.0|mein|pronoun|my|Mein Koffer steckt voller Bücher über Astronomie.|My suitcase is full of books about astronomy.|mein;Koffer;stecken;voll;Buch;über;Astronomie
69.001|mein|pronoun|mine|Das ist mein Lieblingsbuch, das ich immer wieder lese.|That is my favorite book that I read repeatedly.|der;sein;mein;Lieblingsbuch;der;ich;immer;wieder;lesen
70.0|mehr|adverb|more|Die Zellen benötigen mehr Energie zur Regeneration.|The cells need more energy for regeneration.|der;Zelle;benötigen;mehr;Energie;zu;Regeneration
71.0|das Jahr|noun|year|Das Jahr verging schneller als erwartet.|The year passed faster than expected.|der;Jahr;vergehen;schnell;als;erwarten
72.0|du|pronoun|you|Du bist der Einzige, der diese Aufgabe übernehmen kann.|You are the only one who can take on this task. |du;sein;der;einzige;der;dieser;Aufgabe;übernehmen;können
73.0|durch|preposition|through|Der Strom floss ruhig durch den alten Kanal.|The stream flowed gently through the old canal.|der;Strom;floss;ruhig;durch;der;alt;Kanal
74.0|viel|pronoun|much|Er hat viel über die Kunstszene gelernt.|He has learned much about the art scene.|er;haben;viel;über;der;Kunstszene;lernen
74.001|viel|pronoun|a lot|Er hat viel erreicht, trotz aller Hindernisse.|He has achieved a lot, despite all the obstacles.|er;haben;viel;erreichen;trotz;aller;Hindernis
74.002|viel|pronoun|many|Es gibt viel zu entdecken, wenn man die Stadt erkundet.|There is much to discover when exploring the city.|es;geben;viel;zu;entdecken;wenn;man;der;Stadt;erkunden
75.0|wollen|verb|to want to|Sie wollen bald eine Reise nach Japan machen.|They want to take a trip to Japan soon.|sie;wollen;bald;ein;Reise;nach;Japan;machen
76.0|machen|verb|to do|Er wollte etwas Besonderes für sie machen.|He wanted to do something special for her.|er;wollen;etwas;Besonderes;für;sie;machen
76.001|machen|verb|to make|Wir machen ein kunstvolles Mosaik aus buntem Glas.|We make an artistic mosaic out of colorful glass.|wir;machen;ein;kunstvoll;Mosaik;aus;bunt;Glas
77.0|andere|pronoun|other|Andere Zellen im Körper reagieren unterschiedlich auf Viren.|Other cells in the body react differently to viruses.|anderer;Zelle;in;Körper;reagieren;unterschiedlich;auf;Viro
78.0|sollen|verb|to should|Wir sollen die Fehler im System schnell beheben.|We should fix the errors in the system quickly.|wir;sollen;der;Fehler;in;System;schnell;beheben
78.001|sollen|verb|to ought to|Die Teilnehmer sollen sich vor der Konferenz registrieren.|The participants ought to register before the conference.|der;Teilnehmer;sollen;sich;vor;der;Konferenz;registrieren
79.0|schon|adverb|already|Ich habe das Buch schon zweimal gelesen.|I have already read the book twice.|ich;haben;der;Buch;schon;zweimal;lesen
80.0|schon|particle||Das Mittagessen ist schon fertig, du kannst kommen.|The lunch is already ready, you can come.|der;Mittagessen;sein;schon;fertig;du;kannen;kommen
81.0|kommen|verb|to come|Wann wirst du endlich zu mir nach Hause kommen?|When will you finally come to my house?|wann;wirst;du;endlich;zu;mir;nach;Haus;kommen
82.0|mir|pronoun|me|Du kannst mir helfen, den Tisch zu decken, wenn du möchtest.|You can help me set the table if you want.|du;kannst;mir;helfen;der;Tisch;zu;decken;wenn;du;möchteen
83.0|immer|adverb|always|Er ist immer pünktlich und zeigt viel Engagement.|He is always punctual and shows a lot of commitment.|er;sein;immer;pünktlich;und;zeigen;viel;Engagement
84.0|mich|pronoun||Könntest du mir helfen, mich besser zu organisieren?|Could you help me to get organized better?|Könntest;du;mir;helfen;mich;gut;zu;organisieren
85.0|mich|pronoun|me|Er hat mich überrascht, indem er einfach so auftauchte.|He surprised me by showing up just like that.|er;haben;mich;überraschen;indem;er;einfach;so;auftauchen
86.0|gehen|verb|to go|Wir gehen morgen zum Konzert, willst du mitkommen?|We're going to the concert tomorrow, do you want to join?|wir;gehen;morgen;zu;Konzert;willst;du;mitkommen
87.0|groß|adjective|big|Die Statue in der Mitte des Platzes ist sehr groß.|The statue in the middle of the square is very big.|der;Statue;in;der;Mitte;der;Platz;sein;sehr;groß
87.001|groß|adjective|large|Der Park hat eine große Grünfläche für Kinder.|The park has a large green area for children.|der;Park;haben;ein;groß;Grünfläche;für;Kind
87.002|groß|adjective|great|Ihre große Entschlossenheit hat den Erfolg möglich gemacht.|Her great determination made the success possible.|ihr;groß;Entschlossenheit;haben;der;Erfolg;möglich;machen
88.0|hier|adverb|here|Hier sind die neuesten Geräte verfügbar.|Here, the latest devices are available.|hier;sein;der;neu;Gerät;verfügbar
89.0|ganz|adjective|whole|Sie hat das ganze Haus alleine dekoriert.|She decorated the whole house by herself.|sie;haben;der;ganz;Haus;alleine;dekorieren
89.001|ganz|adjective|all the|Er hat den ganzen Kuchen alleine gegessen.|He ate all the cake by himself.|er;haben;der;ganz;Kuchen;alleine;gessen
90.0|ganz|particle|quite|Der Kuchen ist ganz lecker, aber ein bisschen zu süß.|The cake is quite tasty, but a bit too sweet.|der;Kuchen;sein;ganz;lecker;aber;ein;bisschen;zu;süß
91.0|zwei|number|two|Wir haben zwei Tickets für das Konzert bekommen.|We got two tickets for the concert.|wir;haben;zwei;Ticket;für;der;Konzert;bekommen
92.0|also|adverb|so|Also, was soll ich jetzt tun, um weiterzumachen?|So, what should I do now to proceed?|also;was;sollen;ich;jetzt;tun;um;weitermachen
93.0|jetzt|adverb|now|Jetzt müssen wir uns beeilen, sonst verpassen wir den Zug.|Now we need to hurry, or we will miss the train.|jetzt;müssen;wir;sich;beeilen;sonst;verpassen;wir;der;Zug
94.0|doch|adverb|however|Das Wetter war schlecht, doch wir gingen trotzdem spazieren.|The weather was bad, however, we still went for a walk.|der;Wetter;sein;schlecht;doch;wir;spazierengehen;trotzdem;spazieren
94.001|doch|adverb|but|Es war spät, doch die Straße war immer noch belebt.|It was late, but the street was still busy.|es;sein;spät;doch;der;Straße;sein;immer;noch;beleben
95.0|doch|particle||Ich habe keine Lust zu kochen, aber ich werde es doch tun.|I don’t feel like cooking, but I’ll do it anyway.|ich;haben;kein;Lust;zu;kochen;aber;ich;werden;es;doch;tun
96.0|wieder|adverb|again|Nach dem Regen zeigte sich der Regenbogen wieder am Himmel.|After the rain, the rainbow appeared again in the sky.|nach;der;Regen;zeigen;sich;der;Regenbogen;wieder;an;Himmel
97.0|uns|pronoun|us|Es tut mir leid, dass ihr uns nicht begleiten könnt.|I’m sorry that you can’t join us.|es;tun;mir;leid;dass;ihr;uns;nicht;begleiten;können
97.001|uns|pronoun|we|Sie hat uns eine Einladung zur Hochzeit geschickt.|She sent us an invitation to the wedding.|sie;haben;uns;ein;Einladung;zu;Hochzeit;schicken
98.0|gut|adjective|good|Das Essen schmeckte gut, aber der Service war etwas langsam.|The food tasted good, but the service was a bit slow.|der;Essen;schmecken;gut;aber;der;Service;sein;etwas;langsam
99.0|bis|conjunction|until|Ich arbeite bis spät in die Nacht, um alles fertigzustellen.|I work late into the night to get everything done.|ich;arbeiten;bis;spät;in;der;Nacht;um;alle;fertigstellen
100.0|bis|preposition|until|Der Film dauert bis Mitternacht, und wir müssen los.|The movie lasts until midnight, and we have to go.|der;Film;dauern;bis;Mitternacht;und;wir;losmüssen;los
100.001|bis|preposition|till|Wir arbeiten bis 18 Uhr an diesem Projekt.|We work till 6 PM on this project.|wir;arbeiten;bis;18;Uhr;an;dieser;Projekt
101.0|wissen|verb|to know|Er weiß genau, wie er die Herausforderung meistern kann.|He knows exactly how he can overcome the challenge.|er;wissen;genau;wie;er;der;Herausforderung;meistern;können
102.0|sehen|verb|to see|Ich konnte die Moleküle unter dem Mikroskop sehen.|I could see the molecules under the microscope.|ich;können;der;Molekül;unter;der;Mikroskop;sehen
103.0|einer|pronoun|(some)one|Einer der Teilnehmer hat die Theorie widerlegt.|One of the participants disproved the theory.|einer;der;Teilnehmer;haben;der;Theorie;widerlegen
104.0|sehr|adverb|very|Die Ergebnisse waren sehr vielversprechend und ermutigend.|The results were very promising and encouraging.|der;Ergebnis;sein;sehr;vielversprechend;und;ermutigend
105.0|mal|conjunction|times|Denk doch mal über deine Entscheidung nach!|Think about your decision at times!|nachDenk;doch;mal;über;dein;Entscheidung;nach
106.0|das Mal|noun|time|Das letzte Mal, als wir uns trafen, war der Tag so sonnig.|The last time we met, the day was so sunny.|der;letzter;Mal;als;wir;sich;treffen;sein;der;Tag;so;sonnig
106.001|das Mal|noun|mark|Er hat das Mal auf dem Papier versehentlich gemacht.|He accidentally made the mark on the paper.|er;haben;der;Mal;auf;der;Papier;versehentlich;machen
107.0|mal|particle||Komm mal her und hilf mir mit diesen Kisten.|Come here just a moment and help me with these boxes.|herKomm;mal;her;und;hilf;mir;mit;dieser;Kiste
108.0|lassen|verb|to let|Ich lasse meinen Bruder die Koffer tragen.|I let my brother carry the suitcases.|ich;lassen;mein;Bruder;der;Koffer;tragen
108.001|lassen|verb|to allow|Er ließ mich die ganze Zeit allein arbeiten.|He allowed me to work alone the whole time.|er;lassen;mich;der;ganz;Zeit;allein;arbeiten
108.002|lassen|verb|to have done|Wir lassen das Auto in der Werkstatt reparieren.|We have the car repaired at the garage.|wir;lassen;der;Auto;in;der;Werkstatt;reparieren
109.0|neu|adjective|new|Das neue Restaurant hat ein innovatives Menü.|The new restaurant has an innovative menu.|der;neu;Restaurant;haben;ein;innovativ;Menü
110.0|stehen|verb|to stand|Er steht auf der Bühne und begeistert das Publikum.|He stands on stage and captivates the audience.|er;stehen;auf;der;Bühne;und;begeisteren;der;Publikum
